month,height,median,mean,std,count,min,max,variable,tower
1,015m,4.300000190734863,4.3694741024180015,6.6180565316367375,17608,-17.100000381469727,24.0,TempC,TOWA
1,030m,4.400000095367432,4.516848720541408,6.565739879830867,17669,-15.0,23.700000762939453,TempC,TOWA
2,015m,7.0,7.486404818398788,6.45745402927202,16116,-7.300000190734863,27.200000762939453,TempC,TOWA
2,030m,7.199999809265137,7.629535864992403,6.333731437265006,16116,-7.099999904632568,25.700000762939453,TempC,TOWA
3,015m,11.300000190734863,10.99493264598129,6.430979377664951,17741,-9.399999618530273,27.899999618530273,TempC,TOWA
3,030m,11.300000190734863,11.059025519477563,6.228244714051801,17794,-9.0,27.600000381469727,TempC,TOWA
4,015m,14.800000190734863,14.677600886997297,6.481965897523954,17148,-2.0,31.100000381469727,TempC,TOWA
4,030m,15.0,14.805320822681185,6.251966858644972,17159,-1.5,30.799999237060547,TempC,TOWA
5,015m,19.700000762939453,19.639793875070346,5.567966157590438,17465,0.4000000059604645,32.599998474121094,TempC,TOWA
5,030m,19.899999618530273,19.777780293444813,5.3895684923273945,17633,1.2000000476837158,32.20000076293945,TempC,TOWA
6,015m,22.5,22.855609925687972,4.258844938944384,17166,8.800000190734863,35.20000076293945,TempC,TOWA
6,030m,22.600000381469727,22.92760700720975,4.036274235884224,17242,9.600000381469727,34.599998474121094,TempC,TOWA
7,015m,24.200000762939453,24.785360700913497,3.693220156931919,17535,13.199999809265137,35.099998474121094,TempC,TOWA
7,030m,24.299999237060547,24.816700814254514,3.5178975356945013,17568,13.800000190734863,34.599998474121094,TempC,TOWA
8,015m,23.0,23.72115222101458,3.591229801346171,17757,13.899999618530273,34.0,TempC,TOWA
8,030m,23.100000381469727,23.761877204624177,3.4371467797478084,17803,14.399999618530273,33.5,TempC,TOWA
9,015m,21.0,21.15006648602227,4.857123482442375,16546,5.0,33.900001525878906,TempC,TOWA
9,030m,21.200000762939453,21.34925238194633,4.693833670928943,16586,5.699999809265137,33.79999923706055,TempC,TOWA
10,015m,15.399999618530273,15.234379496167312,6.109477469178429,17365,-2.299999952316284,34.29999923706055,TempC,TOWA
10,030m,15.600000381469727,15.485388208088548,5.908670571961999,17349,-1.899999976158142,34.20000076293945,TempC,TOWA
11,015m,8.600000381469727,8.714937273662343,6.106757213651997,17058,-6.800000190734863,25.799999237060547,TempC,TOWA
11,030m,8.800000190734863,9.039034808178451,5.967893713407137,17095,-6.699999809265137,25.700000762939453,TempC,TOWA
12,015m,6.199999809265137,6.292116379262868,6.290327444605089,17289,-16.100000381469727,22.200000762939453,TempC,TOWA
12,030m,6.400000095367432,6.546738630174022,6.179406080382433,17324,-16.0,21.600000381469727,TempC,TOWA
1,015m,5.199999809265137,4.622338628303228,7.392931884063978,11836,-17.5,22.600000381469727,TempC,TOWB
1,030m,5.400000095367432,4.819264584606543,7.317711751127836,11830,-17.5,22.5,TempC,TOWB
2,015m,6.900000095367432,7.233768327528577,6.584719946637556,16169,-8.899999618530273,25.399999618530273,TempC,TOWB
2,030m,6.900000095367432,7.396011379864922,6.516752650252965,16171,-7.400000095367432,25.5,TempC,TOWB
3,015m,11.399999618530273,10.995451164216398,6.7462846488899295,14795,-9.300000190734863,28.299999237060547,TempC,TOWB
3,030m,11.600000381469727,11.232582157341126,6.5874416238193545,14821,-9.199999809265137,28.200000762939453,TempC,TOWB
4,015m,14.600000381469727,14.414939506384522,6.660367889581369,17109,-2.799999952316284,31.399999618530273,TempC,TOWB
4,030m,14.899999618530273,14.641451870176123,6.566447835800518,17109,-2.5999999046325684,31.299999237060547,TempC,TOWB
5,015m,19.399999618530273,19.3575266158989,5.785601049341245,16156,0.0,32.70000076293945,TempC,TOWB
5,030m,19.5,19.453296637054272,5.732827600088346,16168,0.10000000149011612,32.70000076293945,TempC,TOWB
6,015m,22.700000762939453,22.951259469068432,4.38543852448707,17150,8.699999809265137,35.29999923706055,TempC,TOWB
6,030m,22.700000762939453,23.00006446073785,4.2911980905705365,17063,8.800000190734863,35.20000076293945,TempC,TOWB
7,015m,24.299999237060547,24.914737378012944,3.7232925876701493,17649,13.300000190734863,35.29999923706055,TempC,TOWB
7,030m,24.399999618530273,24.95940689673957,3.686584604182223,17636,-23.799999237060547,35.099998474121094,TempC,TOWB
8,015m,23.200000762939453,24.020657458088614,3.60269156877711,14784,14.100000381469727,34.0,TempC,TOWB
8,030m,23.299999237060547,24.04808628562337,3.5868348347669823,14788,12.5,33.900001525878906,TempC,TOWB
9,015m,21.399999618530273,21.57678305630779,5.051510190649768,14119,3.4000000953674316,34.20000076293945,TempC,TOWB
9,030m,21.5,21.64187839638867,4.970421215474484,14129,4.0,34.20000076293945,TempC,TOWB
10,015m,16.399999618530273,15.764869784828988,6.456601559315995,14822,-3.4000000953674316,34.79999923706055,TempC,TOWB
10,030m,16.299999237060547,15.81202160883676,6.345690924032787,14815,-3.299999952316284,34.70000076293945,TempC,TOWB
11,015m,7.800000190734863,7.977196287315158,6.195542528490862,14331,-7.0,26.200000762939453,TempC,TOWB
11,030m,8.0,8.217899294813211,6.023681568261032,14319,-7.0,26.100000381469727,TempC,TOWB
12,015m,6.5,6.50364250022585,6.620101582801716,14825,-15.600000381469727,22.399999618530273,TempC,TOWB
12,030m,6.5,6.557088848401606,6.580599553192267,14812,-15.5,22.200000762939453,TempC,TOWB
1,002m,3.9000000953674316,3.9204174386543174,6.732521727159133,17823,-17.299999237060547,23.600000381469727,TempC,TOWD
1,015m,4.400000095367432,4.409571365255585,6.578300832317866,17824,-15.600000381469727,23.700000762939453,TempC,TOWD
1,035m,4.5,4.491561938831299,6.561090400334015,17824,-15.399999618530273,23.600000381469727,TempC,TOWD
1,060m,4.599999904632568,4.652887224450185,6.575756688404664,17821,-14.899999618530273,23.600000381469727,TempC,TOWD
2,002m,7.0,7.360945971625782,6.515673782878176,13827,-8.100000381469727,26.5,TempC,TOWD
2,015m,7.400000095367432,7.814584239703736,6.3463380119881725,13830,-7.5,26.100000381469727,TempC,TOWD
2,035m,7.400000095367432,7.836744187155625,6.291455403284307,15695,-23.5,25.799999237060547,TempC,TOWD
2,060m,7.599999904632568,8.031729418423726,6.296750686650056,13991,-21.600000381469727,25.600000381469727,TempC,TOWD
3,002m,10.800000190734863,10.273008080134682,6.585165374586135,14860,-8.300000190734863,28.100000381469727,TempC,TOWD
3,015m,11.199999809265137,10.830105648885107,6.245492752091496,14861,-7.5,28.200000762939453,TempC,TOWD
3,035m,11.399999618530273,11.068502216345077,6.236701408474979,17833,-8.699999809265137,27.899999618530273,TempC,TOWD
3,060m,11.5,11.121338163636814,6.0486609031343805,14861,-7.611330986022949,27.799999237060547,TempC,TOWD
